_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,amenities,price,security_deposit,cleaning_fee,extra_people,guests_included,availability_365,city,country,amenities_count,review_scores_accuracy,review_scores_location,host_id,host_name,first_review_date,last_review_date,log_price,amenities_bins,price_log
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8.0,1.0,6.0,1,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Smoking allowed, Family/kid friendly, First aid kit, Fire extinguisher, Essentials",250.0,0.0,0.0,40.0,3.5,296,Rio de Janeiro,Brazil,11.0,10.0,10.0,51326285,Beatriz,2016-02-10,2016-02-10,5.5254529391317835,11-20,5.5254529391317835
10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2.0,1.0,1.0,91,"TV, Cable TV, Wifi, Kitchen, Smoking allowed, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, Long term stays allowed, Well-lit path to entrance, Step-free access, Wide clearance to bed, Accessible-height bed, Step-free access, Step-free access, Handheld shower head, Paid parking on premises",30.0,0.0,10.0,0.0,1.0,335,Porto,Portugal,32.0,10.0,10.0,27518920,Fábio,2016-01-02,2019-02-09,3.4339872044851463,31-40,3.4657359027997265
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8.0,3.0,5.0,51,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed, Pets allowed, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Pack ’n Play/travel crib, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Cleaning before checkout, Waterfront",80.0,200.0,35.0,15.0,3.5,239,Porto,Portugal,32.0,10.0,10.0,51399391,Ana&Gonçalo,2016-01-03,2019-01-20,4.394449154672439,31-40,4.394449154672439
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,flexible,2.0,1.0,1.0,0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, 24-hour check-in",642.5,750.0,250.0,0.0,1.0,363,Rio de Janeiro,Brazil,16.0,10.0,10.0,51496939,Livia,2016-01-03,2018-02-18,6.466922027036182,11-20,6.466922027036182
10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4.0,1.0,2.0,0,"Wifi, Wheelchair accessible, Kitchen, Free parking on premises, Smoking allowed, Hot tub, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace",317.0,0.0,187.0,0.0,1.0,0,Rio de Janeiro,Brazil,15.0,10.0,10.0,1282196,Ynaie,2016-01-03,2018-02-18,5.762051382780177,11-20,5.762051382780177
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2.0,1.0,1.0,91,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Hot tub, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, BBQ grill, Garden or backyard, Well-lit path to entrance, Disabled parking spot, Step-free access, Wide clearance to bed, Step-free access",115.0,0.0,100.0,0.0,1.0,343,Honolulu,United States,36.0,10.0,10.0,5448114,David,2013-05-24,2019-02-07,4.7535901911063645,31-40,4.7535901911063645
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5.0,2.0,2.0,0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Hair dryer, Iron",642.5,750.0,112.0,62.5,1.0,0,Rio de Janeiro,Brazil,17.0,10.0,10.0,51670240,Jonathan,2013-05-24,2018-03-27,6.466922027036182,11-20,6.466922027036182
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3.0,1.0,2.0,3,"Air conditioning, Kitchen, Smoking allowed, Doorman, Elevator, Heating, Family/kid friendly, Essentials, 24-hour check-in, translation missing: en.hosting_amenity_50",642.5,0.0,0.0,0.0,1.0,0,Hong Kong,Hong Kong,10.0,10.0,10.0,51624384,Giovanni,2015-12-19,2018-03-27,6.466922027036182,0-10,6.466922027036182
10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2.0,1.0,1.0,0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Doorman, Elevator, Family/kid friendly, Shampoo, Hangers, Hair dryer, Iron",361.0,0.0,0.0,62.5,2.0,365,Hong Kong,Hong Kong,12.0,10.0,10.0,51289938,Ken,2015-12-19,2019-01-28,5.8916442118257715,11-20,5.8916442118257715
10082422,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,9,flexible,2.0,1.0,2.0,0,"Internet, Wifi, Kitchen, Elevator, Heating, Washer, Shampoo, Hair dryer, Iron, Laptop friendly workspace",50.0,100.0,10.0,0.0,1.0,0,Barcelona,Spain,10.0,10.0,10.0,30393403,Anna,2015-12-19,2019-01-28,3.9318256327243257,0-10,3.9318256327243257
